Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
PANK2	80025	20	20p13	53	NP_001311120;NP_001311121;NP_001311122;NP_001373322;NP_079236;NP_705902;NP_705904;Q9BZ23;A0A2R8YF29;A0A2R8YFI4;V9GYH1;V9GYZ0;ENSP00000417609;ENSP00000313377;ENSP00000476745;ENSP00000495157;ENSP00000477429;ENSP00000477229;ENSP00000496112;ENSP00000481523
PANK3	79646	5	5q34	14	NP_078870;Q9H999;E5RHA5;ENSP00000239231;ENSP00000428631
PANK4	55229	1	1p36.32	56	XP_011540010;XP_047280262;XP_054184581;XP_054184582;XP_054193404;XP_054193405;NP_060686;Q9NVE7;E9PHT6;H0YA26;D6RJF3;H0Y9E4;H0YA02;H0YA31;ENSP00000367727;ENSP00000421433;ENSP00000425932;ENSP00000423920;ENSP00000425977;ENSP00000425668;ENSP00000425674
PANX1	24145	11	11q21	18	XP_011541036;XP_047282658;XP_054224255;XP_054224256;NP_056183;Q96RD7;ENSP00000227638;ENSP00000411461
PAOX	196743	10	10q26.3	11	NP_690875;NP_997010;NP_997011;Q6QHF9;B0QZA9;ENSP00000349847;ENSP00000278060;ENSP00000348654;ENSP00000432737;ENSP00000435514;ENSP00000434550;ENSP00000432517
PAPLN	89932	14	14q24.2	22	XP_011535593;XP_011535594;XP_011535595;XP_011535596;XP_011535598;XP_016877238;XP_047287828;XP_047287829;XP_047287830;XP_047287831;XP_047287832;XP_047287833;XP_054232887;XP_054232888;XP_054232889;XP_054232890;XP_054232891;XP_054232892;XP_054232893;XP_054232894;XP_054232895;XP_054232896;XP_054232897;XP_054232898;NP_001352835;NP_001352836;NP_775733;O95428;B5MDP7;G3V5P6;H0YJA1;H0YMM2;ENSP00000345395;ENSP00000495882;ENSP00000452455;ENSP00000216658;ENSP00000451803;ENSP00000451729;ENSP00000451053;ENSP00000453664
PAPOLA	10914	14	14q32.2	57	NP_001238935;NP_001238936;NP_001280556;NP_001280557;NP_001280561;NP_001350591;NP_001350593;NP_001350594;NP_001350595;NP_116021;P51003;G3XAH6;A0A0C4DGK1;G3V3I9;G3V457;H0YJ00;H0YJL4;ENSP00000216277;ENSP00000451600;ENSP00000450437;ENSP00000450812;ENSP00000451267;ENSP00000376716;ENSP00000450564;ENSP00000451757
PAPOLG	64895	2	2p16.1	41	XP_005264557;XP_005264558;XP_054199399;XP_054199400;NP_075045;Q9BWT3;A0A0C4DH56;F8WAT4;H7C3W0;ENSP00000405599;ENSP00000238714;ENSP00000414070;ENSP00000405570
PAPPA	5069	9	9q33.1	13	XP_006717192;XP_016870273;XP_054219020;XP_054219021;NP_002572;Q13219;ENSP00000330658
PAPSS1	9061	4	4q25	48	XP_011530702;XP_011530703;XP_054207171;XP_054207172;NP_005434;O43252;ENSP00000265174
PAPSS2	9060	10	10q23.2-q23.31	48	NP_001015880;NP_004661;O95340;ENSP00000354436;ENSP00000406157
PAQR4	124222	16	16p13.3	5	XP_047289564;XP_054235561;NP_001271440;NP_001271441;NP_001271442;NP_001311047;NP_689554;Q8N4S7;I3L1A2;I3L265;ENSP00000293978;ENSP00000460326;ENSP00000321804;ENSP00000459418;ENSP00000458683
PARD3	56288	10	10p11.22-p11.21	50	NP_001171714;NP_001171715;NP_001171716;NP_001171717;NP_001171718;NP_001171719;NP_001171720;NP_001171721;NP_001171722;NP_001171723;NP_062565;Q8TEW0;Q5VWU8;Q5VWV2;A0A8Q3WLH5;B1AP52;F5GZI3;ENSP00000440857;ENSP00000443147;ENSP00000512797;ENSP00000340591;ENSP00000311986;ENSP00000363920;ENSP00000363921;ENSP00000363922;ENSP00000363926;ENSP00000363908;ENSP00000341844;ENSP00000444429;ENSP00000363905;ENSP00000363900
PARD3B	117583	2	2q33.3	40	XP_011508854;XP_011508855;XP_016858772;XP_016858773;XP_016858774;XP_016858775;XP_016858776;XP_016858777;XP_016858778;XP_016858781;XP_016858782;XP_016858783;XP_047299164;XP_047299165;XP_054196388;XP_054196389;XP_054196390;XP_054196391;XP_054196392;XP_054196393;XP_054196394;XP_054196395;XP_054196396;XP_054196397;XP_054196398;XP_054196399;XP_054196400;XP_054196401;NP_001289698;NP_476518;NP_689739;NP_995585;Q8TEW8;A0A087WYL6;A0A087WZG6;A0A087X1S9;ENSP00000385848;ENSP00000407718;ENSP00000340280;ENSP00000317261;ENSP00000351618;ENSP00000484434;ENSP00000481918;ENSP00000482649
PARD6A	50855	16	16q22.1	11	XP_005256034;XP_011521397;XP_047290142;XP_047290143;XP_047290144;XP_047290145;XP_054236397;XP_054236398;XP_054236399;XP_054236400;XP_054236401;XP_054236402;NP_001032358;NP_058644;Q9NPB6;R4GMM2;ENSP00000473257;ENSP00000219255;ENSP00000392388
PARD6B	84612	20	20q13.13	33	NP_115910;Q9BYG5;ENSP00000360672;ENSP00000379354
PARD6G	84552	18	18q23	24	NP_115899;Q9BYG4;K7ELH1;ENSP00000343144;ENSP00000468735;ENSP00000466076
PARK7	11315	1	1p36.23	61	XP_005263481;XP_054190021;NP_001116849;NP_009193;K7EN27;Q99497;K7ELW0;ENSP00000465404;ENSP00000418770;ENSP00000466242;ENSP00000340278;ENSP00000366711;ENSP00000366708;ENSP00000466756
PARL	55486	3	3q27.1	25	XP_005247639;XP_016862289;XP_016862290;XP_016862291;XP_024309396;XP_024309397;XP_024309399;XP_047304474;XP_054203151;XP_054203152;XP_054203153;XP_054203154;XP_054203155;XP_054203156;XP_054203157;XP_054203158;NP_001032728;NP_001311365;NP_001311366;NP_001311367;NP_061092;Q9H300;A0A1W2PP66;A0A1W2PS40;C9JNP8;F8WCQ4;H7C045;H7C0U0;H7C122;H7C1V6;ENSP00000325421;ENSP00000491186;ENSP00000492596;ENSP00000392926;ENSP00000402689;ENSP00000398043;ENSP00000310676;ENSP00000402137;ENSP00000491109;ENSP00000404421;ENSP00000396691
PARN	5073	16	16p13.12	59	XP_011520816;XP_047290137;XP_047290138;XP_047290139;XP_047290140;XP_047290141;XP_054185071;XP_054185072;XP_054185073;XP_054185074;XP_054185075;XP_054185076;XP_054236386;XP_054236387;XP_054236388;XP_054236389;XP_054236390;XP_054236391;XP_054236392;XP_054236393;XP_054236394;XP_054236395;XP_054236396;NP_001127949;NP_001229921;NP_002573;O95453;A0A494C0Q2;A0A494C0Q6;A0A494C0W0;A0A494BZU6;A0A494BZW7;A0A494C002;A0A494C0K5;A0A494C0P9;A0A494C156;A0A494C1G3;A0A494C1K5;A0A494C1N1;A0A8V8TMN8;F5H1Z4;A0A494C008;A0A494C0N0;H3BRK1;H3BT23;H3BVG1;ENSP00000498567;ENSP00000387911;ENSP00000498315;ENSP00000498741;ENSP00000498642;ENSP00000498650;ENSP00000499206;ENSP00000499051;ENSP00000498294;ENSP00000410525;ENSP00000498898;ENSP00000345456;ENSP00000444381;ENSP00000513329;ENSP00000498644;ENSP00000499110;ENSP00000499078;ENSP00000498261;ENSP00000498640;ENSP00000498230;ENSP00000458103;ENSP00000456279;ENSP00000445659;ENSP00000456982
PARP1	142	1	1q42.12	60	NP_001609;P09874;A0A7I2V3E1;A0A7I2V384;A0A7I2V5E9;A0A7I2V625;ENSP00000355759;ENSP00000503293;ENSP00000503396;ENSP00000504430;ENSP00000504745
PARP10	84875	8	8q24.3	49	XP_011515638;XP_047278283;XP_047278284;XP_054217352;NP_001304824;NP_116178;Q53GL7;E9PK67;E9PNI7;E9PIA6;E9PIK9;E9PJI2;E9PLE8;E9PM86;E9PPE7;E9PPU2;E9PPV8;E9PQQ6;E9PSE7;E9PSG8;F8W8G7;ENSP00000431620;ENSP00000325618;ENSP00000434776;ENSP00000432733;ENSP00000314320;ENSP00000436301;ENSP00000431818;ENSP00000435793;ENSP00000432204;ENSP00000436697;ENSP00000434005;ENSP00000431250;ENSP00000434411;ENSP00000436333;ENSP00000435161;ENSP00000433990
PARP12	64761	7	7q34	49	XP_005250095;XP_005250096;XP_005250097;XP_047276695;XP_047276697;XP_047276698;XP_054214812;XP_054214813;XP_054214814;XP_054214815;XP_054214816;XP_054214817;NP_073587;Q9H0J9;G5E9U9;H7C4L8;H7C4T3;H7C4Z9;ENSP00000417730;ENSP00000263549;ENSP00000417606;ENSP00000418105;ENSP00000418640
PARP14	54625	3	3q21.1	52	XP_011511231;XP_054202923;NP_060024;Q460N5;A0A3B3ITD5;H7C4Y3;H7C5R8;ENSP00000418194;ENSP00000418535;ENSP00000497854;ENSP00000420649
PARP16	54956	15	15q22.31	19	XP_006720652;XP_006720653;XP_006720655;XP_011520044;XP_016877875;XP_016877876;XP_016877877;XP_016877878;XP_024305737;XP_024305738;XP_047288731;XP_047288732;XP_047288733;XP_047288734;XP_054234305;XP_054234306;XP_054234307;XP_054234308;XP_054234309;XP_054234310;XP_054234311;XP_054234312;XP_054234313;XP_054234314;XP_054234315;XP_054234316;XP_054234317;NP_001303872;NP_001303873;NP_060321;Q8N5Y8;H3BV75;ENSP00000457982;ENSP00000261888;ENSP00000396118;ENSP00000496935
PARP2	10038	14	14q11.2	34	XP_005267304;XP_016876401;XP_047286825;XP_054189115;XP_054189116;XP_054189117;XP_054231215;XP_054231216;XP_054231217;NP_001036083;NP_005475;Q9UGN5;G3V167;H0YH02;E9PJ27;ENSP00000250416;ENSP00000431867;ENSP00000392972;ENSP00000432283;ENSP00000445524
PARP4	143	13	13q12.12	57	NP_006428;Q9UKK3;ENSP00000371419
PARP8	79668	5	5q11.1	15	XP_005248653;XP_011541933;XP_011541934;XP_011541935;XP_011541936;XP_011541945;XP_047273661;XP_047273662;XP_047273663;XP_047273664;XP_054209423;XP_054209424;XP_054209425;XP_054209426;XP_054209427;XP_054209428;XP_054209429;XP_054209430;XP_054209431;XP_054209432;NP_001171526;NP_001171527;NP_001317957;NP_078891;Q8N3A8;E9PFI7;F5H3X8;D6R914;D6R9T2;D6RAL6;D6RB30;D6RC81;D6RCA6;D6RCN2;D6RF37;D6RF59;D6RFH0;D6RGZ9;ENSP00000422217;ENSP00000422183;ENSP00000421503;ENSP00000422288;ENSP00000426243;ENSP00000281631;ENSP00000423133;ENSP00000439022;ENSP00000422355;ENSP00000427138;ENSP00000426679;ENSP00000424814;ENSP00000421708;ENSP00000424916;ENSP00000424485;ENSP00000423946
PARP9	83666	3	3q21.1	50	NP_001139574;NP_001139575;NP_001139576;NP_001139577;NP_001139578;NP_001374800;NP_001374801;NP_001374802;NP_001374803;NP_001374804;NP_001374805;NP_001374806;NP_001374807;NP_001374808;NP_001374809;NP_001374810;NP_001374811;NP_001374812;NP_001374813;NP_001374814;NP_001374815;NP_001374816;NP_113646;Q8IXQ6;G5E9U8;C9K0E5;ENSP00000507390;ENSP00000419506;ENSP00000417664;ENSP00000353512;ENSP00000419001;ENSP00000418894;ENSP00000419626
PARS2	25973	1	1p32.3	30	NP_689481;Q7L3T8;ENSP00000360327
PARVA	55742	11	11p15.3	53	XP_005253072;XP_054225321;NP_060692;Q9NVD7;E9PS97;ENSP00000334008;ENSP00000435860
PARVB	29780	22	22q13.31	43	XP_016884281;XP_024308003;XP_024308004;XP_024308005;XP_047297305;XP_047297306;XP_047297307;XP_054181555;XP_054181556;XP_054181557;XP_054181558;XP_054181559;XP_054181560;XP_054181561;XP_054181562;NP_001003828;NP_001230314;NP_001230315;NP_037459;Q9HBI1;A0A087WZB5;B0QYP8;ENSP00000384515;ENSP00000342492;ENSP00000482511;ENSP00000393758;ENSP00000384353
PARVG	64098	22	22q13.31	31	XP_047297411;XP_054181793;NP_001131077;NP_071424;Q9HBI0;B0QYM9;B0QYN0;U3KQ67;ENSP00000391453;ENSP00000391583;ENSP00000399839;ENSP00000407199;ENSP00000349378;ENSP00000416761;ENSP00000475593
PASK	23178	2	2q37.3	35	XP_011509136;XP_047299691;XP_047299692;XP_054197046;XP_054197047;NP_001239048;NP_001239049;NP_001239051;NP_001239053;NP_055963;Q96RG2;C9J1Z3;C9J4R3;F8WEB4;H7C0L7;ENSP00000234040;ENSP00000441374;ENSP00000384016;ENSP00000351475;ENSP00000384438;ENSP00000408506;ENSP00000395672;ENSP00000400734;ENSP00000486149;ENSP00000397922
PATJ	10207	1	1p31.3	45	XP_005270404;XP_005270404;XP_006710341;XP_006710341;XP_011538764;XP_011538764;XP_011538765;XP_011538765;XP_011538766;XP_011538766;XP_011538767;XP_011538767;XP_011538768;XP_011538768;XP_011538769;XP_011538769;XP_011538770;XP_011538770;XP_011538771;XP_011538771;XP_011538772;XP_011538772;XP_016855487;XP_016855487;XP_016855488;XP_016855488;XP_016855489;XP_016855489;XP_016855490;XP_016855490;XP_024304382;XP_024304382;XP_024304410;XP_024304410;XP_047280239;XP_047280239;XP_047280243;XP_047280243;XP_047280257;XP_047280257;XP_047280277;XP_047280277;XP_054189708;XP_054189708;XP_054189709;XP_054189709;XP_054189710;XP_054189710;XP_054189711;XP_054189711;XP_054189712;XP_054189712;XP_054189713;XP_054189713;XP_054189714;XP_054189714;XP_054189715;XP_054189715;XP_054189716;XP_054189716;XP_054189717;XP_054189717;XP_054189718;XP_054189718;XP_054189719;XP_054189719;XP_054189720;XP_054189720;XP_054189721;XP_054189721;XP_054189722;XP_054189722;XP_054189723;XP_054189723;XP_054189724;XP_054189724;XP_054189725;XP_054189725;XP_054189726;XP_054189726;XP_054189727;XP_054189727;XP_054189728;XP_054189728;NP_001337074;NP_001337074;NP_795352;NP_795352;Q8NI35;Q8NI35;A0A2R8Y549;A0A2R8Y549;A0A0U1RQR3;A0A0U1RQR3;A0A0U1RQT2;A0A0U1RQT2;A0A0U1RQW4;A0A0U1RQW4;A0A0U1RR46;A0A0U1RR46;A0A0U1RRD7;A0A0U1RRD7;A0A2R8Y5I3;A0A2R8Y5I3;B4DE90;B4DE90;ENSP00000360200;ENSP00000360200;ENSP00000494277;ENSP00000494277;ENSP00000489335;ENSP00000489335;ENSP00000433669;ENSP00000433669;ENSP00000489200;ENSP00000489200;ENSP00000489475;ENSP00000489475;ENSP00000494824;ENSP00000494824;ENSP00000489159;ENSP00000489159;ENSP00000307496;ENSP00000307496;ENSP00000489130;ENSP00000489130
PATL1	219988	11	11q12.1	54	NP_689929;Q86TB9;ENSP00000300146
PATZ1	23598	22	22q12.2	33	NP_055138;NP_114439;NP_114440;NP_114441;Q9HBE1;ENSP00000266269;ENSP00000384173;ENSP00000337520;ENSP00000215919
PAWR	5074	12	12q21.2	47	XP_016874867;XP_016874868;XP_047284872;XP_047284873;XP_047284874;XP_047284875;XP_054228126;XP_054228127;XP_054228128;XP_054228129;NP_001341661;NP_001341662;NP_002574;Q96IZ0;A0A0B4J260;F8W1M8;H0YHP5;H0YI16;ENSP00000447507;ENSP00000328088;ENSP00000448317;ENSP00000447454;ENSP00000449928
PAX9	5083	14	14q13.3	11	NP_001359005;NP_006185;P55771;A0A669KBA7;ENSP00000384817;ENSP00000501203;ENSP00000355245
PAXBP1	94104	21	21q22.11	58	XP_006724129;XP_011528106;XP_047297007;XP_047297008;XP_054180933;XP_054180934;XP_054180935;XP_054180936;NP_037461;NP_057715;Q9Y5B6;H7BZC8;H7C2W4;ENSP00000328992;ENSP00000393038;ENSP00000290178;ENSP00000408048;ENSP00000388973
PAXIP1	22976	7	7q36.2	43	XP_011514284;XP_047276013;XP_047276014;XP_047276015;XP_054213610;XP_054213611;XP_054213612;XP_054213613;NP_031375;Q6ZW49;F8WC23;H7BZI8;ENSP00000392011;ENSP00000384048;ENSP00000380376;ENSP00000389849
PAXX	286257	9	9q34.3	56	NP_001316607;NP_001316607;NP_899064;NP_899064;Q9BUH6;Q9BUH6;ENSP00000360682;ENSP00000360682
PBDC1	51260	X	Xq13.3	57	NP_001287817;NP_057584;Q9BVG4;A6NDF3;ENSP00000362455;ENSP00000362456
PBK	55872	8	8p21.1	43	NP_001265874;NP_001349969;NP_060962;Q96KB5;E5RFX4;E5RIE1;ENSP00000301905;ENSP00000428489;ENSP00000428438;ENSP00000427892
PBLD	64081	10	10q21.3	28	XP_005270085;XP_011538362;XP_016872002;XP_016872003;XP_054222508;XP_054222509;XP_054222510;XP_054222511;NP_001028255;NP_071412;P30039;A0A0C4DFS0;V9GY00;ENSP00000338041;ENSP00000351619;ENSP00000476261;ENSP00000308466;ENSP00000476306
PBRM1	55193	3	3p21.1	60	XP_011532202;XP_011532204;XP_011532205;XP_016862214;XP_016862215;XP_016862216;XP_016862217;XP_016862219;XP_016862220;XP_016862223;XP_016862230;XP_016862231;XP_016862233;XP_024309387;XP_047304398;XP_047304399;XP_047304400;XP_047304401;XP_047304402;XP_047304403;XP_047304404;XP_047304405;XP_047304406;XP_047304407;XP_047304408;XP_047304409;XP_047304410;XP_047304411;XP_047304412;XP_047304413;XP_047304415;XP_047304416;XP_047304418;XP_054203049;XP_054203050;XP_054203051;XP_054203052;XP_054203053;XP_054203054;XP_054203055;XP_054203056;XP_054203057;XP_054203058;XP_054203059;XP_054203060;XP_054203061;XP_054203062;XP_054203063;XP_054203064;XP_054203065;XP_054203066;XP_054203067;XP_054203068;XP_054203069;XP_054203070;XP_054203071;XP_054203072;XP_054203073;XP_054203074;XP_054203075;XP_054203076;XP_054203077;XP_054203078;XP_054203079;XP_054203080;XP_054203081;NP_001337003;NP_001337004;NP_001337005;NP_001337006;NP_001337007;NP_001337008;NP_001352999;NP_001353000;NP_001353001;NP_001353002;NP_001353003;NP_001353004;NP_001353005;NP_001381796;NP_001381797;NP_001381798;NP_001381799;NP_001381800;NP_001381801;NP_001381802;NP_001381803;NP_001381804;NP_001381805;NP_001381806;NP_001381807;NP_001381808;NP_001381809;NP_001381810;NP_001387399;NP_001387400;NP_001387401;NP_001387402;NP_001387403;NP_001387404;NP_001387408;NP_001387410;NP_001387413;NP_001387416;NP_001387419;NP_001387425;NP_001387429;NP_001387430;NP_001387433;NP_001392481;NP_001392482;NP_001392483;NP_001392484;NP_001392485;NP_001392486;NP_001392487;NP_001392488;NP_001392489;NP_001392490;NP_001392492;NP_001392493;NP_001392494;NP_001392495;NP_001392496;NP_001392497;NP_001392498;NP_001392499;NP_001392500;NP_001392501;NP_001392502;NP_001392503;NP_001392504;NP_001392505;NP_001392506;NP_001392507;NP_001392508;NP_001392509;NP_001392510;NP_001392511;NP_001392512;NP_001392513;NP_001392514;NP_001392515;NP_001392516;NP_001392517;NP_001392518;NP_001392519;NP_001392520;NP_001392521;NP_001392522;NP_001392523;NP_001392524;NP_001392525;NP_001392526;NP_001392527;NP_001392528;NP_001392529;NP_001392530;NP_001392531;NP_001392532;NP_001392533;NP_001392534;NP_001392535;NP_001392536;NP_001392537;NP_001392538;NP_001392539;NP_001392540;NP_001392541;NP_001392542;NP_001392543;NP_001392544;NP_001392545;NP_001392546;NP_001392547;NP_001392548;NP_001392549;NP_001392550;NP_001392551;NP_001392552;NP_001392553;NP_001392554;NP_001392555;NP_001392556;NP_001392557;NP_001392558;NP_001392559;NP_001392560;NP_001392561;NP_001392562;NP_001392563;NP_001392564;NP_001392565;NP_001392566;NP_001392567;NP_001392568;NP_001392569;NP_001392570;NP_001392571;NP_001392572;NP_060783;NP_851385;Q86U86;C9JPI5;E7EVG2;H0Y5B5;C9J053;C9J409;C9J9L6;C9JCJ2;C9JQF1;ENSP00000349213;ENSP00000378307;ENSP00000296302;ENSP00000338302;ENSP00000404579;ENSP00000386593;ENSP00000386529;ENSP00000386643;ENSP00000386601;ENSP00000387775;ENSP00000397662;ENSP00000409939;ENSP00000389390;ENSP00000412401;ENSP00000416851;ENSP00000404635;ENSP00000411895;ENSP00000397399
PBX1	5087	1	1q23.3	32	XP_005245286;XP_011507892;XP_011507894;XP_016856884;XP_047277739;XP_047277740;XP_047277743;XP_054192809;XP_054192810;XP_054192811;XP_054192812;XP_054192813;XP_054192814;NP_001191890;NP_001191892;NP_001340059;NP_001340060;NP_002576;P40424;H0YLB0;H0YLF5;A0A8V8TPF7;F8WA05;H0YKH1;H0YLD4;H0YLM3;H0YLT4;S4R377;ENSP00000405890;ENSP00000473998;ENSP00000341455;ENSP00000485692;ENSP00000356872;ENSP00000453188;ENSP00000514643;ENSP00000452804;ENSP00000452727;ENSP00000453163;ENSP00000514644;ENSP00000514645;ENSP00000453331;ENSP00000453262;ENSP00000439943;ENSP00000514646
PBX2	5089	6	6p21.32	42	XP_047274795;XP_054184479;XP_054185800;XP_054186581;XP_054186801;XP_054187059;XP_054187322;XP_054211510;NP_002577;P40425;ENSP00000364190
PBXIP1	57326	1	1q21.3	55	NP_001304663;NP_001304664;NP_065385;Q96AQ6;F2Z2Z8;Q5T173;ENSP00000357450;ENSP00000357448;ENSP00000357445;ENSP00000432543
PC	5091	11	11q13.2	43	XP_005274088;XP_005274089;XP_006718641;XP_006718642;XP_011543388;XP_011543389;XP_016873357;XP_016873358;XP_016873359;XP_016873360;XP_016873361;XP_047283014;XP_054224998;XP_054224999;XP_054225000;XP_054225001;XP_054225002;XP_054225003;XP_054225004;XP_054225005;XP_054225006;XP_054225007;NP_000911;NP_001035806;NP_071504;P11498;E9PRE7;A0A494BZT5;A0A494C016;A0A494C0T2;A0A494C101;ENSP00000435905;ENSP00000377532;ENSP00000377527;ENSP00000377530;ENSP00000498406;ENSP00000498712;ENSP00000498302;ENSP00000498994;ENSP00000498317;ENSP00000498816;ENSP00000434192;ENSP00000486373;ENSP00000498218
PCBD1	5092	10	10q22.1	32	NP_000272;NP_001276726;NP_001309933;P61457;ENSP00000299299
PCBD2	84105	5	5q31.1	32	NP_115527;Q9H0N5;H0YA52;ENSP00000421544;ENSP00000254908;ENSP00000426161
PCBP1	5093	2	2p13.3	62	NP_006187;Q15365;ENSP00000305556
PCBP2	5094	12	12q13.13	61	NP_001092090;NP_001122383;NP_001122384;NP_001122385;NP_001122386;NP_005007;NP_114366;Q15366;H3BSS4;F8VRH0;F8VTZ0;F8VXH9;F8VZX2;F8W0G4;F8W1G6;H3BND9;H3BRU6;H3BSP4;ENSP00000352228;ENSP00000390304;ENSP00000394116;ENSP00000448762;ENSP00000447670;ENSP00000352438;ENSP00000448847;ENSP00000448927;ENSP00000448079;ENSP00000446601;ENSP00000456795;ENSP00000449070;ENSP00000388008;ENSP00000408949;ENSP00000449062;ENSP00000447068;ENSP00000456412;ENSP00000454797;ENSP00000448672;ENSP00000456842
PCBP3	54039	21	21q22.3	17	XP_024307858;XP_047296808;XP_047296809;XP_047296810;XP_047296811;XP_047296812;XP_047296813;XP_047296814;XP_047296815;XP_047296816;XP_047296817;XP_047296818;XP_047296819;XP_047296820;XP_047296821;XP_047296822;XP_047296823;XP_047296824;XP_047296825;XP_047296826;XP_047296827;XP_047296828;XP_047296829;XP_047296830;XP_047296831;XP_047296832;XP_047296833;XP_047296834;XP_047296835;XP_047296836;XP_047296837;XP_047296838;XP_047296839;XP_047296840;XP_047296841;XP_047296842;XP_047296843;XP_047296844;XP_047296845;XP_047296846;XP_047296847;XP_054180570;XP_054180571;XP_054180572;XP_054180573;XP_054180574;XP_054180575;XP_054180576;XP_054180577;XP_054180578;XP_054180579;XP_054180580;XP_054180581;XP_054180582;XP_054180583;XP_054180584;XP_054180585;XP_054180586;XP_054180587;XP_054180588;XP_054180589;XP_054180590;XP_054180591;XP_054180592;XP_054180593;XP_054180594;XP_054180595;XP_054180596;XP_054180597;XP_054180598;XP_054180599;XP_054180600;XP_054180601;XP_054180602;XP_054180603;XP_054180604;XP_054180605;XP_054180606;XP_054180607;XP_054180608;XP_054180609;XP_054180610;XP_054180611;NP_001123613;NP_001335167;NP_001335168;NP_001335169;NP_001335170;NP_001335171;NP_001335172;NP_001335173;NP_001335174;NP_001369205;NP_001369206;NP_001369207;NP_001369208;NP_001369210;NP_001369211;NP_001369212;NP_001369213;NP_001369214;NP_001369215;NP_001369216;NP_001369217;NP_001371085;NP_065389;P57721;E9PFP8;J3QT27;ENSP00000383168;ENSP00000505796;ENSP00000383165;ENSP00000383163;ENSP00000383164;ENSP00000401198;ENSP00000448986;ENSP00000383160;ENSP00000383159
PCBP4	57060	3	3p21.2	19	XP_005265388;XP_006713332;XP_047304568;XP_047304569;XP_047304570;XP_047304571;XP_047304572;XP_047304573;XP_047304574;XP_047304575;XP_047304576;XP_047304577;XP_047304578;XP_054203307;XP_054203308;XP_054203309;XP_054203310;XP_054203311;XP_054203312;XP_054203313;XP_054203314;XP_054203315;XP_054203316;XP_054203317;XP_054203318;XP_054203319;NP_001167571;NP_001350814;NP_065151;NP_127501;NP_127503;P57723;C9IZV9;C9J0A4;C9J5V4;C9J7A9;C9JSA6;C9JTY5;C9JZY3;C9K0A2;F8WC71;ENSP00000348111;ENSP00000322341;ENSP00000395030;ENSP00000417196;ENSP00000417100;ENSP00000418613;ENSP00000418925;ENSP00000419694;ENSP00000419557;ENSP00000417916;ENSP00000420008;ENSP00000418312;ENSP00000418997;ENSP00000419672
PCCA	5095	13	13q32.3	47	XP_011519395;XP_016876094;XP_016876095;XP_016876096;XP_016876098;XP_016876100;XP_016876101;XP_016876102;XP_016876104;XP_016876105;XP_047286326;XP_047286327;XP_047286328;XP_047286329;XP_047286330;XP_047286331;XP_047286332;XP_047286333;XP_047286334;XP_054230547;XP_054230548;XP_054230549;XP_054230550;XP_054230551;XP_054230552;XP_054230553;XP_054230554;XP_054230556;XP_054230557;XP_054230558;XP_054230559;XP_054230560;XP_054230561;XP_054230562;XP_054230563;XP_054230564;XP_054230565;NP_000273;NP_001121164;NP_001171475;NP_001339534;NP_001339535;NP_001339536;NP_001339537;NP_001339538;NP_001339539;NP_001339540;NP_001339541;P05165;A0A1B0GU58;A0A1B0GWI4;H0Y4B9;A0A1B0GTR1;A0A1B0GUX9;A0A1B0GWA1;A0A2R8Y725;H0Y5U0;H0Y798;Q5JTW6;Q5JVH2;ENSP00000365463;ENSP00000365456;ENSP00000365462;ENSP00000495663;ENSP00000489804;ENSP00000490290;ENSP00000490939;ENSP00000490843;ENSP00000489974;ENSP00000396050;ENSP00000400740;ENSP00000390850;ENSP00000411194;ENSP00000399413
PCCB	5096	3	3q22.3	46	XP_011511175;XP_054202659;XP_054202660;NP_000523;NP_001171485;P05166;C9JAW3;C9JQS9;C9JVW9;C9JVY9;E7ENC1;E7ETT1;E7ETT4;E7EUY3;E7EX59;E9PDR0;E9PEC3;F8WBI9;H7C5C9;ENSP00000251654;ENSP00000420391;ENSP00000420158;ENSP00000419129;ENSP00000417253;ENSP00000420639;ENSP00000417937;ENSP00000418307;ENSP00000417549;ENSP00000419027;ENSP00000419263;ENSP00000420759;ENSP00000419563;ENSP00000418020;ENSP00000419293
